name,chapter
Live Animals,01
Meat And Edible Meat Offal,02
Fish; Crustaceans & Aquatic Invertebrates,03
Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,04
Products Of Animal Origin; Nesoi,05
Live Trees; Plants; Bulbs Etc.; Cut Flowers Etc.,06
Edible Vegetables And Certain Roots And Tubers,07
Edible Fruit And Nuts; Peel Of Citrus Fruit Or Melons,08
Coffee; Tea; Mate And Spices,09
Cereals,10
Milling Products; Malt; Starch; Inulin; Wht Gluten,11
Oil Seeds Etc.; Misc Grain; Seed; Fruit; Plant Etc,12
Lac; Gums; Resins And Other Vegetable Saps And Extracts,13
Vegetable Plaiting Materials And Vegetable Products; Nesoi,14
Animal Or Vegetable Fats; Oils Etc. & Waxes,15
Edible Preparations Of Meat; Fish; Crustaceans Etc,16
Sugars And Sugar Confectionary,17
Cocoa And Cocoa Preparations,18
Prep Cereal; Flour; Starch Or Milk; Bakers Wares,19
Prep Vegetables; Fruit; Nuts Or Other Plant Parts,20
Miscellaneous Edible Preparations,21
Beverages; Spirits And Vinegar,22
Food Industry Residues & Waste; Prep Animal Feed,23
Tobacco And Manufactured Tobacco Substitutes,24
Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,25
Ores; Slag And Ash,26
Mineral Fuel; Oil Etc.; Bitumin Subst; Mineral Wax,27
Inorg Chem; Prec & Rare-earth Met & Radioact Compd,28
Organic Chemicals,29
Pharmaceutical Products,30
Fertilizers,31
Tanning & Dye Ext Etc; Dye; Paint; Putty Etc; Inks,32
Essential Oils Etc; Perfumery; Cosmetic Etc Preps,33
Soap Etc; Waxes; Polish Etc; Candles; Dental Preps,34
Albuminoidal Substances; Modified Starches; Glues; Enzymes,35
Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,36
Photographic Or Cinematographic Goods,37
Miscellaneous Chemical Products,38
Plastics And Articles Thereof,39
Rubber And Articles Thereof,40
Raw Hides And Skins (Other Than Furskins) And Leather,41
Leather Art; Saddlery Etc; Handbags Etc; Gut Art,42
Furskins And Artificial Fur; Manufactures Thereof,43
Wood And Articles Of Wood; Wood Charcoal,44
Cork And Articles Of Cork,45
Art Of Straw; Esparto Etc.; Basketware & Wickerwrk,46
Wood Pulp Etc; Recovered (Waste & Scrap) Pr & Pprbd,47
Paper & Paperboard & Articles (Inc Papr Pulp Art),48
Printed Books; Newspapers Etc; Manuscripts Etc,49
Silk; Including Yarns And Woven Fabrics Thereof,50
Wool & Animal Hair; Including Yarn & Woven Fabric,51
Cotton; Including Yarns And Woven Fabrics Thereof,52
Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,53
Manmade Filaments; Including Yarns And Woven Fabrics Thereof,54
Manmade Staple Fibers; Incl Yarns & Woven Fabrics,55
Wadding; Felt Etc; Sp Yarn; Twine; Ropes Etc.,56
Carpets And Other Textile Floor Coverings,57
Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,58
Impregnated Etc Text Fabrics; Tex Art For Industry,59
Knitted Or Crocheted Fabrics,60
Apparel Articles And Accessories; Knit Or Crochet,61
Apparel Articles And Accessories; Not Knit Etc.,62
Textile Art Nesoi; Needlecraft Sets; Worn Text Art,63
Footwear; Gaiters And The Like; Parts Of Such Articles,64
Headgear And Parts Thereof,65
Umbrellas; Walking-sticks; Riding-crops Etc; Parts,66
Prep Feathers; Down Etc; Artif Flowers; H Hair Art,67
Art Of Stone; Plaster; Cement; Asbestos; Mica Etc.,68
Ceramic Products,69
Glass And Glassware,70
Nat Etc Pearls; Prec Etc Stones; Pr Met Etc; Coin,71
Iron And Steel,72
Articles Of Iron Or Steel,73
Copper And Articles Thereof,74
Nickel And Articles Thereof,75
Aluminum And Articles Thereof,76
Lead And Articles Thereof,78
Zinc And Articles Thereof,79
Tin And Articles Thereof,80
Base Metals Nesoi; Cermets; Articles Thereof,81
Tools; Cutlery Etc; Of Base Metal & Parts Thereof,82
Miscellaneous Articles Of Base Metal,83
Nuclear Reactors; Boilers; Machinery Etc.; Parts,84
Electric Machinery Etc; Sound Equip; Tv Equip; Pts,85
Railway Or Tramway Stock Etc; Traffic Signal Equip,86
Vehicles; Except Railway Or Tramway; And Parts Etc,87
Aircraft; Spacecraft; And Parts Thereof,88
Ships; Boats And Floating Structures,89
Optic; Photo Etc; Medic Or Surgical Instruments Etc,90
Clocks And Watches And Parts Thereof,91
Musical Instruments; Parts And Accessories Thereof,92
Arms And Ammunition; Parts And Accessories Thereof,93
Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd,94
Toys; Games & Sport Equipment; Parts & Accessories,95
Miscellaneous Manufactured Articles,96
Works Of Art; Collectors' Pieces And Antiques,97
Special Classification Provisions; Nesoi,98
Special Import Reporting Provisions; Nesoi,99
