"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01012100000'","  "," Chevaux vivants, reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","11","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01012900000'","  "," Autres chevaux vivants","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01013010000'","  "," Anes vivants, reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","11","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01013090000'","  "," Autres anes vivants","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","11","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01019000000'","  "," Mulets et bardots vivants","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01022100000'","  "," Bovins domestiques vivants, reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","11","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01022900000'","  "," Autres bovins domestiques vivants","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01023100000'","  "," Buffles vivants, reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","11","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01023900000'","  "," Autres buffles vivants","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01029010000'","  "," Autres animaux vivants de l'esp?ce bovine, reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01029090000'","  "," Autres animaux vivants de l'esp?ce bovine","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01031000000'","  "," Animaux vivants de l'esp?ce porcine, reproducteurs de race pure","01'","Live animals","0103'","Live swine.","010310'"," - Pure-bred breeding animals","11","1","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01039100000'","  "," Autres animaux vivants de l'esp?ce porcine d 1 poids < 50 kg","01'","Live animals","0103'","Live swine.","010391'"," - - Weighing less than 50 kg","11","1","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01039200000'","  "," Autres animaux vivants de l'esp?ce porcine, de poids >= 50kg","01'","Live animals","0103'","Live swine.","010392'"," - - Weighing 50 kg or more","11","1","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01041000000'","  "," Animaux vivants de l'esp?ce ovine","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","11","1","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01042000000'","  "," Animaux vivants de l'esp?ce caprine","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","11","1","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01051100000'","  "," Volailles de l'espece Gallus domesticus, d un poids n excedant pas 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," - - Fowls of the species Gallus domesticus","11","1","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01051200000'","  "," Dindes et dindons vivants, des especes domestiques, d un poids < 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512'"," - - Turkeys","11","1","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01051300000'","  "," Canards vivants, des especes domestiques, d un poids n excedant pas 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513'"," - - Ducks","11","1","R","0","0","","","","0","0","0","0","0","0"
"20","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01051400000'","  "," Oies vivantes, des especes domestiques, d un poids n excedant pas 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514'"," - - Geese","11","1","R","0","0","","","","0","0","0","0","0","0"
"21","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01051500000'","  "," Pintades vivantes, des especes domestiques, d un poids n excedant pas 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515'"," - - Guinea fowls","11","1","R","0","0","","","","0","0","0","0","0","0"
"22","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01059400000'","  "," Volailles de l'espece Gallus domesticus, d un poids excedant 185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594'"," - - Fowls of the species Gallus domesticus","11","1","R","0","0","","","","0","0","0","0","0","0"
"23","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01059900000'","  "," Canards/oies/dindons/dindes/pintades vivants, ... domestiques, d un poids >185 g","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599'"," - - Other","11","1","R","0","0","","","","0","0","0","0","0","0"
"24","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01061100000'","  "," Primates vivants","01'","Live animals","0106'","Other live animals.","010611'"," - - Primates","11","1","R","0","0","","","","0","0","0","0","0","0"
"25","","HS 2017","Harmonized System 2017","Cameroon","120'","2019","1","01061200000'","  "," Baleines/dauphins/marsouins;lamantins/dugongs;otaries/phoqs,lions de mer/morses,vivants","01'","Live animals","0106'","Other live animals.","010612'"," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of ","11","1","R","0","0","","","","0","0","0","0","0","0"
