"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01012100'","  "," Chevaux, ?nes, mulets et bardots, vivants: Chevaux: Reproducteurs de race pure","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010121'"," -- Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01012900'","  "," Chevaux, ?nes, mulets et bardots, vivants: Chevaux: Autres(*)","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010129'"," -- Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01013010'","  "," Chevaux, ?nes, mulets et bardots, vivants: Anes: Reproducteur de race pure","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01013090'","  "," Chevaux, ?nes, mulets et bardots, vivants: Anes: Autres","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01019000'","  "," Chevaux, ?nes, mulets et bardots, vivants: Autres","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01022100'","  "," Animaux vivants de l'esp?ce bovine: Bovins domestiques : Reproducteurs de race pure","01'","LIVE ANIMALS","0102'","Live bovine animals.","010221'"," -- Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01022900'","  "," Animaux vivants de l'esp?ce bovine: Bovins domestiques : Autres","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01023100'","  "," Animaux vivants de l'esp?ce bovine: Buffles : Reproducteurs de race pure","01'","LIVE ANIMALS","0102'","Live bovine animals.","010231'"," -- Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01023900'","  "," Animaux vivants de l'esp?ce bovine: Buffles : Autres","01'","LIVE ANIMALS","0102'","Live bovine animals.","010239'"," -- Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2012","Harmonized System 2012","Central African Republic","140'","2016","1","01029010'","  "," Animaux vivants de l'esp?ce bovine: Autres: Reproducteurs de race pure","01'","LIVE ANIMALS","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
