"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01011000'","  "," Chevaux et ?nes, reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010110'"," - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01019000'","  "," Chevaux, ?nes, mulets et bardots, vivants (? l'excl. des animaux reproducteurs de race pure)","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01021000'","  "," Bovins reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010210'"," - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01029000'","  "," Bovins vivants (? l'excl. des animaux reproducteurs de race pure)","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01029010'","  "," Animaux vivants de l'esp?ce bovine : Autres : Boeufs","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01029090'","  "," Animaux vivants de l'esp?ce bovine : Autres","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01031000'","  "," Porcins reproducteurs de race pure","01'","Live animals","0103'","Live swine.","010310'"," - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01039100'","  "," Porcins, vivants, d'un poids < 50 kg (? l'excl. des animaux reproducteurs de race pure)","01'","Live animals","0103'","Live swine.","010391'"," -- Weighing less than 50 kg","8","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01039200'","  "," Porcins, vivants, d'un poids >= 50 kg (? l'excl. des animaux reproducteurs de race pure)","01'","Live animals","0103'","Live swine.","010392'"," -- Weighing 50 kg or more","8","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2007","Harmonized System 2007","Chad","148'","2016","1","01041000'","  "," Ovins, vivants","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0","","","","0","0","0","0","0","0"
