"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01012100'","  "," - - Reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01012900'","  "," - - Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01013010'","  "," - - - Reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01013090'","  "," - - - Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01019010'","  "," - - - Reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01019090'","  "," - - - Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01022100'","  "," - - Reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01022910'","  "," - - - Vaches laiti?res","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01022990'","  "," - - - Autres","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01023100'","  "," - - Reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01023900'","  "," - - Autres","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01029000'","  "," - Autres","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01031000'","  "," - Reproducteurs de race pure","01'","Live animals","0103'","Live swine.","010310'"," - Pure-bred breeding animals","8","1","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01039100'","  "," - - D'un poids inf?rieur ? 50 kg","01'","Live animals","0103'","Live swine.","010391'"," - - Weighing less than 50 kg","8","1","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01039200'","  "," - - D'un poids ?gal ou sup?rieur ? 50 kg","01'","Live animals","0103'","Live swine.","010392'"," - - Weighing 50 kg or more","8","1","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01041010'","  "," - - - Reproducteurs de race pure","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01041090'","  "," - - - Autres","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01042010'","  "," - - - Reproducteurs de race pure","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","8","1","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01042090'","  "," - - - Autres","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","8","1","R","0","0","","","","0","0","0","0","0","0"
"20","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01051110'","  "," - - - Reproducteurs de race pure","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," - - Fowls of the species Gallus domesticus","8","1","R","0","0","","","","0","0","0","0","0","0"
"21","","HS 2017","Harmonized System 2017","Madagascar","450'","2021","1","01051190'","  "," - - - Autres","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," - - Fowls of the species Gallus domesticus","8","1","R","0","0","","","","0","0","0","0","0","0"
