"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0101210000'","  "," Cheveaux reproducteurs de race pure","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010121'"," -- Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0101290000'","  "," Autres cheveaux","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010129'"," -- Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0101300000'","  "," Anes","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","10","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0101900000'","  "," - Autres","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","10","1","A","0","0","","","","0","0","0","0","0","0"
"5","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0102210000'","  "," Bovins domestiques reproducteurs de race pure","01'","LIVE ANIMALS","0102'","Live bovine animals.","010221'"," -- Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0102290000'","  "," Autres bovins domestiques","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0102310000'","  "," Buffles reproducteurs de race pure","01'","LIVE ANIMALS","0102'","Live bovine animals.","010231'"," -- Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0102390000'","  "," Autres buffles","01'","LIVE ANIMALS","0102'","Live bovine animals.","010239'"," -- Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0102900000'","  "," - Autres","01'","LIVE ANIMALS","0102'","Live bovine animals.","010290'"," - Other","10","1","A","0","0","","","","0","0","0","0","0","0"
"10","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0103100000'","  "," Animaux vivants de l?espece porcine, reproducteurs de race pure","01'","LIVE ANIMALS","0103'","Live swine.","010310'"," - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0103910000'","  "," Autres animaux vivants de l?espece porcine d'un poids inferieur a 50 kg","01'","LIVE ANIMALS","0103'","Live swine.","010391'"," -- Weighing less than 50 kg","10","1","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0103920000'","  "," Autres animaux vivants de l?espece porcine, d'un poids = a 50 kg","01'","LIVE ANIMALS","0103'","Live swine.","010392'"," -- Weighing 50 kg or more","10","1","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0104100000'","  "," Animaux vivants de l'espece ovine","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010410'"," - Sheep","10","1","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0104200000'","  "," Animaux vivants de l'espece caprine","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010420'"," - Goats","10","1","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0105110000'","  "," Coqs et poules vivants,d'un poids n'excedant pas 185 g","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," -- Fowls of the species Gallus domesticus","10","1","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0105120000'","  "," Dindes et dindons vivants d'un poids n'excedant pas 185 g","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512'"," -- Turkeys","10","1","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0105130000'","  "," Canards","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513'"," -- Ducks","10","1","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0105140000'","  "," Oies","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514'"," -- Geese","10","1","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2012","Harmonized System 2012","Mauritania","478'","2017","1","0105150000'","  "," Pintades","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515'"," -- Guinea fowls","10","1","R","0","0","","","","0","0","0","0","0","0"
