"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0101210000'","  "," -- Reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0101290000'","  "," -- Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0101301000'","  "," -- Reproducteurs de race pure","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","10","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0101309000'","  "," -- Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","10","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0101900000'","  "," - Autres","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0102210000'","  "," -- Reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0102290000'","  "," -- Autres","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0102310000'","  "," -- Reproducteurs de race pure","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0102390000'","  "," -- Autres","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0102900000'","  "," - Autres","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2017","Harmonized System 2017","Senegal","686'","2020","1","0103100000'","  "," - Reproducteurs de race pure","01'","Live animals","0103'","Live swine.","010310'"," - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
