"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","d_in","i_ts","u_ts","d_ts"
"1",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01012100","  "," - - Pure-bred breeding animals","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"2",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01012900","  "," - - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","8","1","R","0",NULL,NULL,NULL
"3",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01013010","  "," - - Pure-bred breeding animals","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","8","1","R","0",NULL,NULL,NULL
"4",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01013090","  "," - - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","8","1","R","0",NULL,NULL,NULL
"5",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01019000","  "," - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","1","R","0",NULL,NULL,NULL
"6",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01022100","  "," - - Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"7",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01022911","  "," - - - - Oxen","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"8",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01022919","  "," - - - - Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"9",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01022990","  "," - - - Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"10",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01023100","  "," - - Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010231"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"11",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01023900","  "," - - Other","01","Live animals","0102","Live bovine animals.","010239"," - - Other","8","1","R","0",NULL,NULL,NULL
"12",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01029010","  "," - - Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","1","R","0",NULL,NULL,NULL
"13",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01029090","  "," - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","1","R","0",NULL,NULL,NULL
"14",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01031000","  "," - Pure-bred breeding animals","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"15",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01039100","  "," - - Weighing less than 50 kg","01","Live animals","0103","Live swine.","010391"," - - Weighing less than 50 kg","8","1","R","0",NULL,NULL,NULL
"16",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01039200","  "," - - Weighing 50 kg or more","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","8","1","R","0",NULL,NULL,NULL
"17",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01041010","  "," - - Pure-bred breeding animals","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","8","1","R","0",NULL,NULL,NULL
"18",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01041090","  "," - - Other","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","8","1","R","0",NULL,NULL,NULL
"19",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01042010","  "," - - Pure-bred breeding animals","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","8","1","R","0",NULL,NULL,NULL
"20",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01042090","  "," - - Other","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","8","1","R","0",NULL,NULL,NULL
"21",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051110","  "," - - - Breeding fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"22",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051190","  "," - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"23",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051210","  "," - - - Breeding turkeys","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512"," - - Turkeys","8","1","R","0",NULL,NULL,NULL
"24",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051290","  "," - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512"," - - Turkeys","8","1","R","0",NULL,NULL,NULL
"25",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051310","  "," - - - Breeding ducklings","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513"," - - Ducks","8","1","R","0",NULL,NULL,NULL
"26",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051390","  "," - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513"," - - Ducks","8","1","R","0",NULL,NULL,NULL
"27",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051410","  "," - - - Breeding goslings","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514"," - - Geese","8","1","R","0",NULL,NULL,NULL
"28",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051490","  "," - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514"," - - Geese","8","1","R","0",NULL,NULL,NULL
"29",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051510","  "," - - - Breeding guinea fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515"," - - Guinea fowls","8","1","R","0",NULL,NULL,NULL
"30",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01051590","  "," - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515"," - - Guinea fowls","8","1","R","0",NULL,NULL,NULL
"31",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059410","  "," - - - Breeding fowls, other than fighting cocks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"32",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059441","  "," - - - - Weighing not more than 2 kg","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"33",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059449","  "," - - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"34",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059491","  "," - - - - Weighing not more than 2 kg","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"35",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059499","  "," - - - - Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","8","1","R","0",NULL,NULL,NULL
"36",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059910","  "," - - - Breeding ducks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599"," - - Other","8","1","R","0",NULL,NULL,NULL
"37",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059920","  "," - - - Other ducks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599"," - - Other","8","1","R","0",NULL,NULL,NULL
"38",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059930","  "," - - - Breeding geese, turkeys and guinea fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599"," - - Other","8","1","R","0",NULL,NULL,NULL
"39",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01059940","  "," - - - Other geese, turkeys and guinea fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599"," - - Other","8","1","R","0",NULL,NULL,NULL
"40",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01061100","  "," - - Primates","01","Live animals","0106","Other live animals.","010611"," - - Primates","8","1","R","0",NULL,NULL,NULL
"41",NULL,"HS 2017","Harmonized System 2017","Cambodia","116","2020","1","01061200","  "," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","01","Live animals","0106","Other live animals.","010612"," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of ","8","1","R","0",NULL,NULL,NULL
