"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010110100","  "," -- Horses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010110"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010110900","  "," -- Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010110"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010190110","  "," --- For slaughter","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010190190","  "," --- Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010190300","  "," -- Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010190900","  "," -- Mulus and hinnies","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010210100","  "," --Heifers (female bovines that have never calved)","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010210300","  "," --Cows","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010210900","  "," --Other","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290050","  "," --- Of a weight not exceeding 80 kg","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290210","  "," ---- For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290290","  "," ----Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290410","  "," ---- For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290490","  "," ----Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290510","  "," ----- For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290590","  "," -----Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290610","  "," -----For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290690","  "," -----Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290710","  "," -----For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"20","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290790","  "," -----Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"21","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010290900","  "," --Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"22","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010310000","  "," -Pure-bred breeding animals ","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","9","Y","R","0","0","","","","0","0","0","0","0","0"
"23","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010391100","  "," ---Domestic normal","01","Live animals","0103","Live swine.","010391"," -- Weighing less than 50 kg","9","Y","R","0","0","","","","0","0","0","0","0","0"
"24","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010391900","  "," ---Other","01","Live animals","0103","Live swine.","010391"," -- Weighing less than 50 kg","9","Y","R","0","0","","","","0","0","0","0","0","0"
"25","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010392110","  "," ---- Sows having farrowed at least once, of a weight of not less than 160 kg","01","Live animals","0103","Live swine.","010392"," -- Weighing 50 kg or more","9","Y","R","0","0","","","","0","0","0","0","0","0"
"26","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010392190","  "," ----Other","01","Live animals","0103","Live swine.","010392"," -- Weighing 50 kg or more","9","Y","R","0","0","","","","0","0","0","0","0","0"
"27","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010392900","  "," ---Other","01","Live animals","0103","Live swine.","010392"," -- Weighing 50 kg or more","9","Y","R","0","0","","","","0","0","0","0","0","0"
"28","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010410100","  "," --Pure-bred breeding animals ","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","9","Y","R","0","0","","","","0","0","0","0","0","0"
"29","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010410300","  "," --- Lambs (up to a year old)","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","9","Y","R","0","0","","","","0","0","0","0","0","0"
"30","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010410800","  "," ---Other","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","9","Y","R","0","0","","","","0","0","0","0","0","0"
"31","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010420100","  "," --Pure-bred breeding animals ","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","9","Y","R","0","0","","","","0","0","0","0","0","0"
"32","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010420900","  "," --Other","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","9","Y","R","0","0","","","","0","0","0","0","0","0"
"33","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010511110","  "," ---- Laying stocks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," -- Fowls of the species Gallus domesticus","9","Y","R","0","0","","","","0","0","0","0","0","0"
"34","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010511190","  "," ---- Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," -- Fowls of the species Gallus domesticus","9","Y","R","0","0","","","","0","0","0","0","0","0"
"35","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010511910","  "," ---- Laying stocks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," -- Fowls of the species Gallus domesticus","9","Y","R","0","0","","","","0","0","0","0","0","0"
"36","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010511990","  "," ----Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," -- Fowls of the species Gallus domesticus","9","Y","R","0","0","","","","0","0","0","0","0","0"
"37","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010512000","  "," -- Turkeys","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512"," -- Turkeys","9","Y","R","0","0","","","","0","0","0","0","0","0"
"38","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010519200","  "," --- Geese","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010519"," -- Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"39","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010519900","  "," ---Ducks and Guinea fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010519"," -- Other","9","Y","R","0","0","","","","0","0","0","0","0","0"
"40","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010592000","  "," -- Fowls of the species Gallus domesticus weighing not more than 2000 g","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010592"," -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g","9","Y","R","0","0","","","","0","0","0","0","0","0"
"41","","HS 2002","Harmonized System 2002","Latvia","428","2002","1","010593000","  "," -- Fowls of the species Gallus domesticus weighing more than 2000 g","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010593"," -- Fowls of the species Gallus domesticus, weighing more than 2,000 g","9","Y","R","0","0","","","","0","0","0","0","0","0"
