"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010121000","  "," - - Pure-bred breeding animals","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","9","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010129100","  "," Not provided","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","9","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010129900","  "," Not provided","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","9","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010130000","  "," - Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","9","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010190000","  "," - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010221100","  "," Not provided","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","9","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010221300","  "," Not provided","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","9","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010221900","  "," Not provided","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","9","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010229050","  "," Not provided","01","Live animals","0102","Live bovine animals.","010229"," - - Other","9","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2017","Harmonized System 2017","Moldova, Republic of","498","2020","1","010229100","  "," Not provided","01","Live animals","0102","Live bovine animals.","010229"," - - Other","9","1","R","0","0","","","","0","0","0","0","0","0"
