"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0101210000","  "," -- Pure-bred breeding animals","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0101291000","  "," --- For slaughter","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0101299000","  "," --- Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0101300000","  "," - Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","10","1","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0101900000","  "," - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102211000","  "," --- Heifers (female bovines that have never calved)","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102213000","  "," --- Cows","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102219000","  "," --- Other","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102290500","  "," --- Of the sub-genus Bibos or of the sub-genus Poephagus","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102291000","  "," ---- Of a weight not exceeding 80 kg","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102292100","  "," ----- For slaughter","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102292900","  "," ----- Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102294100","  "," ----- For slaughter","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102294900","  "," ----- Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102295100","  "," ------ For slaughter","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102295900","  "," ------ Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102296100","  "," ------ For slaughter","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102296900","  "," ------ Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102299100","  "," ------ For slaughter","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"20","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102299900","  "," ------ Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"21","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102310000","  "," -- Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010231"," - - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"22","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102391000","  "," --- Domestic species","01","Live animals","0102","Live bovine animals.","010239"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"23","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102399000","  "," --- Other","01","Live animals","0102","Live bovine animals.","010239"," - - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"24","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102902000","  "," -- Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010290"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"25","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102909100","  "," --- Domestic species","01","Live animals","0102","Live bovine animals.","010290"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"26","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0102909900","  "," --- Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","10","1","R","0","0","","","","0","0","0","0","0","0"
"27","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103100000","  "," - Pure-bred breeding animals","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","10","1","R","0","0","","","","0","0","0","0","0","0"
"28","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103911000","  "," --- Domestic species","01","Live animals","0103","Live swine.","010391"," - - Weighing less than 50 kg","10","1","R","0","0","","","","0","0","0","0","0","0"
"29","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103919000","  "," --- Other","01","Live animals","0103","Live swine.","010391"," - - Weighing less than 50 kg","10","1","R","0","0","","","","0","0","0","0","0","0"
"30","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103921100","  "," ---- Sows having farrowed at least once, of a weight of not less than 160 kg","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","10","1","R","0","0","","","","0","0","0","0","0","0"
"31","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103921900","  "," ---- Other","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","10","1","R","0","0","","","","0","0","0","0","0","0"
"32","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0103929000","  "," --- Other","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","10","1","R","0","0","","","","0","0","0","0","0","0"
"33","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0104101000","  "," -- Pure-bred breeding animals","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","10","1","R","0","0","","","","0","0","0","0","0","0"
"34","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0104103000","  "," --- Lambs (up to a year old)","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","10","1","R","0","0","","","","0","0","0","0","0","0"
"35","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0104108000","  "," --- Other","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","10","1","R","0","0","","","","0","0","0","0","0","0"
"36","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0104201000","  "," -- Pure-bred breeding animals","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","10","1","R","0","0","","","","0","0","0","0","0","0"
"37","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0104209000","  "," -- Other","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","10","1","R","0","0","","","","0","0","0","0","0","0"
"38","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105111100","  "," ---- Laying stocks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","10","1","R","0","0","","","","0","0","0","0","0","0"
"39","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105111900","  "," ---- Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","10","1","R","0","0","","","","0","0","0","0","0","0"
"40","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105119100","  "," ---- Laying stocks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","10","1","R","0","0","","","","0","0","0","0","0","0"
"41","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105119900","  "," ---- Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","10","1","R","0","0","","","","0","0","0","0","0","0"
"42","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105120000","  "," -- Turkeys","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512"," - - Turkeys","10","1","R","0","0","","","","0","0","0","0","0","0"
"43","","HS 2017","Harmonized System 2017","Montenegro","893","2020","1","0105130000","  "," -- Ducks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513"," - - Ducks","10","1","R","0","0","","","","0","0","0","0","0","0"
