"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"1","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01011010","  "," - - Horses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010110"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"2","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01011090","  "," - - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010110"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"3","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01019011","  "," - - - For slaughter","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"4","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01019019","  "," - - - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"5","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01019030","  "," - - Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"6","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01019090","  "," - - Mules and hinnies","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"7","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01021010","  "," - - Heifers (female bovines that have never calved)","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"8","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01021030","  "," - - Cows","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"9","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01021090","  "," - - Other","01","Live animals","0102","Live bovine animals.","010210"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"10","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029005","  "," - - - Of a weight not exceeding 80 kg","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"11","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029021","  "," - - - - For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"12","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029029","  "," - - - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"13","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029041","  "," - - - - For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"14","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029049","  "," - - - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"15","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029051","  "," - - - - - For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"16","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029059","  "," - - - - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"17","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029061","  "," - - - - - For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"18","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029069","  "," - - - - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"19","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029071","  "," - - - - - For slaughter","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"20","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029079","  "," - - - - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"21","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01029090","  "," - - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","8","Y","R","0","0","","","","0","0","0","0","0","0"
"22","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01031000","  "," - Pure-bred breeding animals","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","8","Y","R","0","0","","","","0","0","0","0","0","0"
"23","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01039110","  "," - - - Domestic species","01","Live animals","0103","Live swine.","010391"," -- Weighing less than 50 kg","8","Y","R","0","0","","","","0","0","0","0","0","0"
"24","","HS 2002","Harmonized System 2002","Slovenia","705","2003","1","01039190","  "," - - - Other","01","Live animals","0103","Live swine.","010391"," -- Weighing less than 50 kg","8","Y","R","0","0","","","","0","0","0","0","0","0"
