"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","d_in","i_ts","u_ts","d_ts"
"1",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01012100000","  "," -- Pure-bred breeding animals","01","LIVE ANIMALS","0101","Live horses, asses, mules and hinnies.","010121"," -- Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"2",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01012910000","  "," --- For slaughter","01","LIVE ANIMALS","0101","Live horses, asses, mules and hinnies.","010129"," -- Other","11","1","R","0",NULL,NULL,NULL
"3",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01012990000","  "," --- Other","01","LIVE ANIMALS","0101","Live horses, asses, mules and hinnies.","010129"," -- Other","11","1","R","0",NULL,NULL,NULL
"4",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01013000000","  "," - Asses","01","LIVE ANIMALS","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","11","1","R","0",NULL,NULL,NULL
"5",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01019000000","  "," - Other","01","LIVE ANIMALS","0101","Live horses, asses, mules and hinnies.","010190"," - Other","11","1","R","0",NULL,NULL,NULL
"6",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022110000","  "," --- Heifers (female bovines that have never calved)","01","LIVE ANIMALS","0102","Live bovine animals.","010221"," -- Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"7",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022130000","  "," --- Cows","01","LIVE ANIMALS","0102","Live bovine animals.","010221"," -- Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"8",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022190000","  "," --- Other","01","LIVE ANIMALS","0102","Live bovine animals.","010221"," -- Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"9",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022905000","  "," --- Of a weight not exceeding 80?kg","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"10",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022921000","  "," ---- For slaughter","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"11",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022929000","  "," ---- Other","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"12",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022941000","  "," ? ? ? ? For slaughter","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"13",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022949000","  "," ? ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"14",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022951000","  "," ? ? ? ? ? For slaughter","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"15",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022959000","  "," ? ? ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"16",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022961000","  "," ? ? ? ? ? For slaughter","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"17",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022969000","  "," ? ? ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"18",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022971000","  "," ? ? ? ? ? For slaughter","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"19",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01022979000","  "," ? ? ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010229"," -- Other","11","1","R","0",NULL,NULL,NULL
"20",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01023100000","  "," ? ? Pure-bred breeding animals","01","LIVE ANIMALS","0102","Live bovine animals.","010231"," -- Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"21",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01023910000","  "," ? ? ? Domestic species","01","LIVE ANIMALS","0102","Live bovine animals.","010239"," -- Other","11","1","R","0",NULL,NULL,NULL
"22",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01023990000","  "," ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010239"," -- Other","11","1","R","0",NULL,NULL,NULL
"23",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01029030000","  "," ? ? Pure-bred breeding animals","01","LIVE ANIMALS","0102","Live bovine animals.","010290"," - Other","11","1","R","0",NULL,NULL,NULL
"24",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01029091000","  "," ? ? ? Domestic species","01","LIVE ANIMALS","0102","Live bovine animals.","010290"," - Other","11","1","R","0",NULL,NULL,NULL
"25",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01029099000","  "," ? ? ? Other","01","LIVE ANIMALS","0102","Live bovine animals.","010290"," - Other","11","1","R","0",NULL,NULL,NULL
"26",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01031000000","  "," ? Pure-bred breeding animals","01","LIVE ANIMALS","0103","Live swine.","010310"," - Pure-bred breeding animals","11","1","R","0",NULL,NULL,NULL
"27",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01039110000","  "," ? ? ? Domestic species","01","LIVE ANIMALS","0103","Live swine.","010391"," -- Weighing less than 50 kg","11","1","R","0",NULL,NULL,NULL
"28",NULL,"HS 2012","Harmonized System 2012","Georgia","268","2020","1","01039190000","  "," ? ? ? Other","01","LIVE ANIMALS","0103","Live swine.","010391"," -- Weighing less than 50 kg","11","1","R","0",NULL,NULL,NULL
