"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","d_in","i_ts","u_ts","d_ts","local_policies"
"1",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010121100","  "," ---1 Certified as being those other than Thoroughbred, Thoroughbred-grade, Arab, Anglo-Arab or Arab-grade horses (hereinafter referred to as ""light-breed horses"") in accordance with the provisions of the Cabinet Order for Enforcement of the Cust","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"2",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010121210","  "," ----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"3",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010121290","  "," ----(2) Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"4",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010129100","  "," ---1 Certified as being not ""light-breed horses"" in accordance with the provisions of a Cabinet Order","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"5",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010129210","  "," ----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"6",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010129290","  "," ----(2) Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"7",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010130000","  "," -Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","9","1","R","0",NULL,NULL,NULL,"0"
"8",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010190000","  "," -Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","9","1","R","0",NULL,NULL,NULL,"0"
"9",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010221000","  "," --Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"10",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010229100","  "," ---1 Weighing not more than 300 kg","01","Live animals","0102","Live bovine animals.","010229"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"11",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010229200","  "," ---2 Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"12",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010231000","  "," --Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010231"," - - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"13",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010239000","  "," --Other","01","Live animals","0102","Live bovine animals.","010239"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"14",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010290100","  "," --1 Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","1","R","0",NULL,NULL,NULL,"0"
"15",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010290210","  "," ---(1) Weighing not more than 300 kg","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","1","R","0",NULL,NULL,NULL,"0"
"16",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010290290","  "," ---(2) Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","9","1","R","0",NULL,NULL,NULL,"0"
"17",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010310000","  "," -Pure-bred breeding animals","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","9","1","R","0",NULL,NULL,NULL,"0"
"18",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010391000","  "," --Weighing less than 50 kg","01","Live animals","0103","Live swine.","010391"," - - Weighing less than 50 kg","9","1","R","0",NULL,NULL,NULL,"0"
"19",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010392011","  "," ---*[1] Per each, not more than the upper limit prices for the specific duty applied on live swine where the upper limit prices shall be obtained by subtracting Prices B from Prices A, the same definition shall be applied in this heading Prices ","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","9","1","R","0",NULL,NULL,NULL,"0"
"20",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010392012","  "," ---*[2] Per each, more than the upper limit prices for the specific duty applied on live swine, but not more than the gate prices where the gate prices shall be obtained by dividing Prices A by Rates B plus 1, the same definition shall be applie","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","9","1","R","0",NULL,NULL,NULL,"0"
"21",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010392020","  "," ---*[3] Per each, more than the gate price of live swine, in value for customs duty S","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","9","1","R","0",NULL,NULL,NULL,"0"
"22",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010410000","  "," -Sheep","01","Live animals","0104","Live sheep and goats.","010410"," - Sheep","9","1","R","0",NULL,NULL,NULL,"0"
"23",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010420000","  "," -Goats","01","Live animals","0104","Live sheep and goats.","010420"," - Goats","9","1","R","0",NULL,NULL,NULL,"0"
"24",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010511000","  "," --Fowls of the species Gallus domesticus","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511"," - - Fowls of the species Gallus domesticus","9","1","R","0",NULL,NULL,NULL,"0"
"25",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010512000","  "," --Turkeys","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512"," - - Turkeys","9","1","R","0",NULL,NULL,NULL,"0"
"26",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010513000","  "," --Ducks","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513"," - - Ducks","9","1","R","0",NULL,NULL,NULL,"0"
"27",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010514000","  "," --Geese","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514"," - - Geese","9","1","R","0",NULL,NULL,NULL,"0"
"28",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010515000","  "," --Guinea fowls","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515"," - - Guinea fowls","9","1","R","0",NULL,NULL,NULL,"0"
"29",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010594000","  "," --Fowls of the species Gallus domesticus","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594"," - - Fowls of the species Gallus domesticus","9","1","R","0",NULL,NULL,NULL,"0"
"30",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010599000","  "," --Other","01","Live animals","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"31",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010611000","  "," --Primates","01","Live animals","0106","Other live animals.","010611"," - - Primates","9","1","R","0",NULL,NULL,NULL,"0"
"32",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010612010","  "," ---Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","01","Live animals","0106","Other live animals.","010612"," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of ","9","1","R","0",NULL,NULL,NULL,"0"
"33",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010612090","  "," ---Other","01","Live animals","0106","Other live animals.","010612"," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of ","9","1","R","0",NULL,NULL,NULL,"0"
"34",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010613000","  "," --Camels and other camelids (Camelidae)","01","Live animals","0106","Other live animals.","010613"," - - Camels and other camelids (Camelidae)","9","1","R","0",NULL,NULL,NULL,"0"
"35",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010614000","  "," --Rabbits and hares","01","Live animals","0106","Other live animals.","010614"," - - Rabbits and hares","9","1","R","0",NULL,NULL,NULL,"0"
"36",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010619010","  "," ---Carnivores","01","Live animals","0106","Other live animals.","010619"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"37",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010619090","  "," ---Other","01","Live animals","0106","Other live animals.","010619"," - - Other","9","1","R","0",NULL,NULL,NULL,"0"
"38",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010620010","  "," --Turtles and tortoises","01","Live animals","0106","Other live animals.","010620"," - Reptiles (including snakes and turtles)","9","1","R","0",NULL,NULL,NULL,"0"
"39",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010620020","  "," --Crocodiles and alligators","01","Live animals","0106","Other live animals.","010620"," - Reptiles (including snakes and turtles)","9","1","R","0",NULL,NULL,NULL,"0"
"40",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010620031","  "," ---Lizards","01","Live animals","0106","Other live animals.","010620"," - Reptiles (including snakes and turtles)","9","1","R","0",NULL,NULL,NULL,"0"
"41",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010620039","  "," ---Other","01","Live animals","0106","Other live animals.","010620"," - Reptiles (including snakes and turtles)","9","1","R","0",NULL,NULL,NULL,"0"
"42",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010620090","  "," --Other","01","Live animals","0106","Other live animals.","010620"," - Reptiles (including snakes and turtles)","9","1","R","0",NULL,NULL,NULL,"0"
"43",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010631000","  "," --Birds of prey","01","Live animals","0106","Other live animals.","010631"," - - Birds of prey","9","1","R","0",NULL,NULL,NULL,"0"
"44",NULL,"HS 2017","Harmonized System 2017","Japan","392","2020","1","010632000","  "," --Psittaciformes (including parrots, parakeets, macaws and cockatoos)","01","Live animals","0106","Other live animals.","010632"," - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","9","1","R","0",NULL,NULL,NULL,"0"
