"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","d_in","i_ts","u_ts","d_ts"
"1",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0101210000","  "," - - Pure-bred breeding animals","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","10","1","R","0",NULL,NULL,NULL
"2",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0101290000","  "," - - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","10","1","R","0",NULL,NULL,NULL
"3",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0101300000","  "," - Asses","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","10","1","R","0",NULL,NULL,NULL
"4",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0101900000","  "," - Other","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","10","1","R","0",NULL,NULL,NULL
"5",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0102210000","  "," - - Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","10","1","R","0",NULL,NULL,NULL
"6",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0102290000","  "," - - Other","01","Live animals","0102","Live bovine animals.","010229"," - - Other","10","1","R","0",NULL,NULL,NULL
"7",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0102310000","  "," - - Pure-bred breeding animals","01","Live animals","0102","Live bovine animals.","010231"," - - Pure-bred breeding animals","10","1","R","0",NULL,NULL,NULL
"8",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0102390000","  "," - - Other","01","Live animals","0102","Live bovine animals.","010239"," - - Other","10","1","R","0",NULL,NULL,NULL
"9",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0102900000","  "," - Other","01","Live animals","0102","Live bovine animals.","010290"," - Other","10","1","R","0",NULL,NULL,NULL
"10",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0103100000","  "," - Pure-bred breeding animals","01","Live animals","0103","Live swine.","010310"," - Pure-bred breeding animals","10","1","R","0",NULL,NULL,NULL
"11",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0103910000","  "," - - Weighing less than 50 kg","01","Live animals","0103","Live swine.","010391"," - - Weighing less than 50 kg","10","1","R","0",NULL,NULL,NULL
"12",NULL,"HS 2017","Harmonized System 2017","Maldives","462","2019","1","0103920000","  "," - - Weighing 50 kg or more","01","Live animals","0103","Live swine.","010392"," - - Weighing 50 kg or more","10","1","R","0",NULL,NULL,NULL
