"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01012100'","  "," - - Reproductores de raza pura","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01012900'","  "," - - Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01013000'","  "," - Asnos","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01019000'","  "," - Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01022100'","  "," - - Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01022910'","  "," - - - Puros por cruza","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01022919'","  "," - - - Los dem?s","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01023100'","  "," - - Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01023900'","  "," - - Los dem?s","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01029000'","  "," - Los dem?s","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12035",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01031000'","  "," - Reproductores de raza pura","01'","Live animals","0103'","Live swine.","010310'"," - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12036",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01039100'","  "," - - De peso inferior a 50 kg","01'","Live animals","0103'","Live swine.","010391'"," - - Weighing less than 50 kg","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12037",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01039200'","  "," - - De peso superior o igual a 50 kg","01'","Live animals","0103'","Live swine.","010392'"," - - Weighing 50 kg or more","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12038",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01041010'","  "," - - Reproductores de raza pura","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12039",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01041020'","  "," - - Puros por cruza","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12040",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01041090'","  "," - - Los dem?s","01'","Live animals","0104'","Live sheep and goats.","010410'"," - Sheep","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12041",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01042010'","  "," - - Reproductores de raza pura","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12042",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01042020'","  "," - - Puros por cruza","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12043",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01042090'","  "," - - Los dem?s","01'","Live animals","0104'","Live sheep and goats.","010420'"," - Goats","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12044",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01051100'","  "," - - Aves de la especie Gallus domesticus","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," - - Fowls of the species Gallus domesticus","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12045",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01051200'","  "," - - Pavos (gallipavos)","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512'"," - - Turkeys","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12046",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01051300'","  "," - - Patos","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010513'"," - - Ducks","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12047",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01051400'","  "," - - Gansos","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010514'"," - - Geese","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12048",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01051500'","  "," - - Pintadas","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010515'"," - - Guinea fowls","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12049",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01059410'","  "," - - - Reproductores av?colas","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594'"," - - Fowls of the species Gallus domesticus","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12050",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01059490'","  "," - - - Los dem?s","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010594'"," - - Fowls of the species Gallus domesticus","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12051",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01059910'","  "," - - - Reproductores av?colas","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12052",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01059990'","  "," - - - Los dem?s","01'","Live animals","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010599'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12053",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061100'","  "," - - Primates","01'","Live animals","0106'","Other live animals.","010611'"," - - Primates","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12054",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061200'","  "," - - Ballenas, delfines y marsopas (mam?feros del orden Cetacea); manat?es y dugones o dugongos (mam?feros del orden Sirenia); otarios y focas, leones marinos y morsas (mam?feros del suborden Pinnipedia)","01'","Live animals","0106'","Other live animals.","010612'"," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of ","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12055",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061300'","  "," - - Camellos y dem?s cam?lidos (Camelidae)","01'","Live animals","0106'","Other live animals.","010613'"," - - Camels and other camelids (Camelidae)","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12056",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061400'","  "," - - Conejos y liebres","01'","Live animals","0106'","Other live animals.","010614'"," - - Rabbits and hares","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12057",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061910'","  "," - - - Perros","01'","Live animals","0106'","Other live animals.","010619'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12058",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01061990'","  "," - - - Los dem?s","01'","Live animals","0106'","Other live animals.","010619'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12059",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01062000'","  "," - Reptiles (incluidas serpientes y tortugas de mar)","01'","Live animals","0106'","Other live animals.","010620'"," - Reptiles (including snakes and turtles)","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12060",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01063100'","  "," - - Aves de rapi?a","01'","Live animals","0106'","Other live animals.","010631'"," - - Birds of prey","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12061",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01063200'","  "," - - Psitaciformes (incluidos los loros, guacamayos, cacat?as y dem?s papagayos)","01'","Live animals","0106'","Other live animals.","010632'"," - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12062",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01063300'","  "," - - Avestruces; em?es (Dromaius del novaehollandiae)","01'","Live animals","0106'","Other live animals.","010633'"," - - Ostriches; emus (Dromaius novaehollandiae)","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12063",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01063900'","  "," - - Las dem?s","01'","Live animals","0106'","Other live animals.","010639'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12064",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01064100'","  "," - - Abejas","01'","Live animals","0106'","Other live animals.","010641'"," - - Bees","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12065",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01064900'","  "," - - Los dem?s","01'","Live animals","0106'","Other live animals.","010649'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12066",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","01069000'","  "," - Los dem?s:","01'","Live animals","0106'","Other live animals.","010690'"," - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12067",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02011000'","  "," - En canales o medias canales","02'","Meat and edible meat offal","0201'","Meat of bovine animals, fresh or chilled.","020110'"," - Carcasses and half-carcasses","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12068",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02012010'","  "," - - Cortes finos y selectos","02'","Meat and edible meat offal","0201'","Meat of bovine animals, fresh or chilled.","020120'"," - Other cuts with bone in","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12069",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02012090'","  "," - - Los dem?s","02'","Meat and edible meat offal","0201'","Meat of bovine animals, fresh or chilled.","020120'"," - Other cuts with bone in","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12070",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02013010'","  "," - - Cortes finos y selectos","02'","Meat and edible meat offal","0201'","Meat of bovine animals, fresh or chilled.","020130'"," - Boneless","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12071",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02013090'","  "," - - Los dem?s","02'","Meat and edible meat offal","0201'","Meat of bovine animals, fresh or chilled.","020130'"," - Boneless","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12072",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02021000'","  "," - En canales o medias canales","02'","Meat and edible meat offal","0202'","Meat of bovine animals, frozen.","020210'"," - Carcasses and half-carcasses","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12073",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02022010'","  "," - - Cortes finos y selectos","02'","Meat and edible meat offal","0202'","Meat of bovine animals, frozen.","020220'"," - Other cuts with bone in","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12074",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02022090'","  "," - - Los dem?s","02'","Meat and edible meat offal","0202'","Meat of bovine animals, frozen.","020220'"," - Other cuts with bone in","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12075",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02023010'","  "," - - En trozos irregulares (?trimming?)","02'","Meat and edible meat offal","0202'","Meat of bovine animals, frozen.","020230'"," - Boneless","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12076",NULL,"HS 2017","Harmonized System 2017","Dominican Republic","214'","2019","1","02023020'","  "," - - Cortes finos y selectos","02'","Meat and edible meat offal","0202'","Meat of bovine animals, frozen.","020230'"," - Boneless","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
