"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01012100'","  "," -- Reproductores de raza pura","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010121'"," -- Pure-bred breeding animals","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01012900'","  "," -- Los dem?s","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010129'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01013000'","  "," - Asnos","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01019000'","  "," - Los dem?s","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01022100'","  "," -- Reproductores de raza pura","01'","LIVE ANIMALS","0102'","Live bovine animals.","010221'"," -- Pure-bred breeding animals","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01022900'","00'"," -- Los dem?s","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01022900'","01'"," -- Los dem?s","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01022900'","02'"," -- Los dem?s","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01022900'","03'"," -- Los dem?s","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01023100'","  "," -- Reproductores de raza pura","01'","LIVE ANIMALS","0102'","Live bovine animals.","010231'"," -- Pure-bred breeding animals","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12035",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01023900'","  "," -- Los dem?s","01'","LIVE ANIMALS","0102'","Live bovine animals.","010239'"," -- Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12036",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01029010'","  "," - - Reproductores de raza pura","01'","LIVE ANIMALS","0102'","Live bovine animals.","010290'"," - Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12037",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01029090'","  "," - - Otros","01'","LIVE ANIMALS","0102'","Live bovine animals.","010290'"," - Other","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12038",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01031000'","  "," - Reproductores de raza pura","01'","LIVE ANIMALS","0103'","Live swine.","010310'"," - Pure-bred breeding animals","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12039",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01039100'","  "," -- De peso inferior a 50?kg","01'","LIVE ANIMALS","0103'","Live swine.","010391'"," -- Weighing less than 50 kg","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12040",NULL,"HS 2012","Harmonized System 2012","Guatemala","320'","2012","1","01039200'","  "," -- De peso superior o igual a 50?kg","01'","LIVE ANIMALS","0103'","Live swine.","010392'"," -- Weighing 50 kg or more","8","Y","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
