"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010121000000'","  "," Reproductores de raza pura","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010129000000'","  "," Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010130000000'","  "," Asnos","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010190000000'","  "," Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010221000000'","  "," Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010229000000'","  "," Los dem?s","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010231000000'","  "," Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010239000000'","  "," Los dem?s","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010290100000'","  "," Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2017","Harmonized System 2017","Panama","591'","2020","1","010290900000'","  "," Los dem?s","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","12","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
