"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01012100000'","  "," Live horses, asses, mules and hinnies: Horses: Pure-bred breeding animals","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010121'"," -- Pure-bred breeding animals","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01012910000'","  "," Live horses, asses, mules and hinnies: Horses: Other: Race horses, not for breeding","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010129'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01012990000'","  "," Live horses, asses, mules and hinnies: Horses: Other: Other","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010129'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01013010000'","  "," Live horses, asses, mules and hinnies: Asses: Pure-bred breeding animals","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01013090000'","  "," Live horses, asses, mules and hinnies: Asses: Other","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01019000000'","  "," Live horses, asses, mules and hinnies: Other","01'","LIVE ANIMALS","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022110000'","  "," Live bovine animals: Cattle: Pure-bred breeding animals: Bulls","01'","LIVE ANIMALS","0102'","Live bovine animals.","010221'"," -- Pure-bred breeding animals","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022120000'","  "," Live bovine animals: Cattle: Pure-bred breeding animals: Cows","01'","LIVE ANIMALS","0102'","Live bovine animals.","010221'"," -- Pure-bred breeding animals","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022910000'","  "," Live bovine animals: Cattle: Other: Bulls, for breeding","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022920000'","  "," Live bovine animals: Cattle: Other: Bulls, for rearing, weighing not more than 270 kg","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12035",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022930000'","  "," Live bovine animals: Cattle: Other: Other bulls","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12036",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022940000'","  "," Live bovine animals: Cattle: Other: Cows, for breeding","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12037",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022950000'","  "," Live bovine animals: Cattle: Other: Cows, for rearing, weighing not more than 270 kg","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12038",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01022960000'","  "," Live bovine animals: Cattle: Other: Other cows","01'","LIVE ANIMALS","0102'","Live bovine animals.","010229'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12039",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01023100000'","  "," Live bovine animals: Buffalo: Pure-bred breeding animals","01'","LIVE ANIMALS","0102'","Live bovine animals.","010231'"," -- Pure-bred breeding animals","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12040",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01023900000'","  "," Live bovine animals: Buffalo: Other","01'","LIVE ANIMALS","0102'","Live bovine animals.","010239'"," -- Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12041",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01029000000'","  "," Live bovine animals: Other","01'","LIVE ANIMALS","0102'","Live bovine animals.","010290'"," - Other","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12042",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01031000000'","  "," Live swine: Purebred breeding animals","01'","LIVE ANIMALS","0103'","Live swine.","010310'"," - Pure-bred breeding animals","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12043",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01039110000'","  "," Live swine: Other: Weighing less than 50 kg: For breeding","01'","LIVE ANIMALS","0103'","Live swine.","010391'"," -- Weighing less than 50 kg","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12044",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01039190000'","  "," Live swine: Other: Weighing less than 50 kg: Other","01'","LIVE ANIMALS","0103'","Live swine.","010391'"," -- Weighing less than 50 kg","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12045",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01039210000'","  "," Live swine: Other: Weighing 50 kg or more: For breeding","01'","LIVE ANIMALS","0103'","Live swine.","010392'"," -- Weighing 50 kg or more","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12046",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01039290000'","  "," Live swine: Other: Weighing 50 kg or more: Other","01'","LIVE ANIMALS","0103'","Live swine.","010392'"," -- Weighing 50 kg or more","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12047",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01041010000'","  "," Live sheep and goats: Sheep: For breeding","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010410'"," - Sheep","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12048",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01041020000'","  "," Live sheep and goats: Sheep: For rearing","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010410'"," - Sheep","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12049",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01041090000'","  "," Live sheep and goats: Sheep: Other","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010410'"," - Sheep","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12050",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01042010000'","  "," Live sheep and goats: Goats: For breeding","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010420'"," - Goats","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12051",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01042020000'","  "," Live sheep and goats: Goats: For rearing","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010420'"," - Goats","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12052",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01042090000'","  "," Live sheep and goats: Goats: Other","01'","LIVE ANIMALS","0104'","Live sheep and goats.","010420'"," - Goats","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12053",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01051110000'","  "," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Fowls of the species Gallus domesticus: For breeding","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," -- Fowls of the species Gallus domesticus","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12054",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01051120000'","  "," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Fowls of the species Gallus domesticus: For rearing","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," -- Fowls of the species Gallus domesticus","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12055",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01051190000'","  "," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Fowls of the species Gallus domesticus: Other","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010511'"," -- Fowls of the species Gallus domesticus","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12056",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01051210000'","  "," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Turkeys: For breeding","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512'"," -- Turkeys","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12057",NULL,"HS 2012","Harmonized System 2012","Saint Lucia","662'","2016","1","01051220000'","  "," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Turkeys: For rearing","01'","LIVE ANIMALS","0105'","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin","010512'"," -- Turkeys","11","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
