"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01012100'","  "," -- Reproductores de raza pura","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010121'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01012910'","  "," --- De carrera","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01012990'","  "," --- Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010129'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01013000'","  "," - Asnos","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010130'"," - Asses","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01019000'","  "," - Los dem?s","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01022100'","  "," -- Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010221'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01022900'","  "," -- Los dem?s","01'","Live animals","0102'","Live bovine animals.","010229'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01023100'","  "," -- Reproductores de raza pura","01'","Live animals","0102'","Live bovine animals.","010231'"," - - Pure-bred breeding animals","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01023900'","  "," -- Los dem?s","01'","Live animals","0102'","Live bovine animals.","010239'"," - - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2017","Harmonized System 2017","Chile","152'","2021","1","01029000'","  "," - Los dem?s","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","8","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
