"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","group_nm","d_in","i_ts","u_ts","d_ts","import_duties","export_duties","local_duties","export_policies","import_policies","local_policies"
"12025",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0101100000'","  "," Live animals: Live horses, asses, mules and hinnies: Pure-bred breeding animals","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010110'"," - Pure-bred breeding animals","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12026",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0101901000'","  "," Live animals: Live horses, asses, mules and hinnies: Live horses, asses, mules and hinnies: Other: Race horses not for breeding","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12027",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0101909000'","  "," Live animals: Live horses, asses, mules and hinnies: Live horses, asses, mules and hinnies: Other: Other horses","01'","Live animals","0101'","Live horses, asses, mules and hinnies.","010190'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12028",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102101000'","  "," Live animals: Live bovine animals: Live bovine animals: Pure-bred breeding animals: Bulls","01'","Live animals","0102'","Live bovine animals.","010210'"," - Pure-bred breeding animals","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12029",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102102000'","  "," Live animals: Live bovine animals: Live bovine animals: Pure-bred breeding animals: Cows","01'","Live animals","0102'","Live bovine animals.","010210'"," - Pure-bred breeding animals","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12030",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102901000'","  "," Live animals: Live bovine animals: Live bovine animals: Other: Bulls for breeding","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12031",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102902000'","  "," Live animals: Live bovine animals: Live bovine animals: Other: Bulls for rearing, weighing not more than 270 kg","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12032",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102903000'","  "," Live animals: Live bovine animals: Live bovine animals: Other: Other bulls","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12033",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102904000'","  "," Live animals: Live bovine animals: Live bovine animals: Other: Cows for breeding","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
"12034",NULL,"HS 2007","Harmonized System 2007","Guyana","328'","2016","1","0102905000'","  "," Live animals: Live bovine animals: Live bovine animals: Other: Cows for rearing, weighing not more than 270 kg","01'","Live animals","0102'","Live bovine animals.","010290'"," - Other","10","1","R","0","0",NULL,NULL,NULL,"0","0","0","0","0","0"
