"hscode_id","query_name","base_nomenclature","classification","reporter","reporter_code","year","subid","tl","tls","tldesc","product","product_description","hs4","hs4desc","hs6","hs6desc","level","tl_level_flag","record_status","d_in","i_ts","u_ts","d_ts"
"1",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01012100","  "," PURE BRED BREEDING HORSES (NMB)","01","Live animals","0101","Live horses, asses, mules and hinnies.","010121"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"2",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01012900","  "," OTHER LIVE HORSES (NMB)","01","Live animals","0101","Live horses, asses, mules and hinnies.","010129"," - - Other","8","1","R","0",NULL,NULL,NULL
"3",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01013010","  "," PURE BRED BREEDING ASSES (NMB)","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","8","1","R","0",NULL,NULL,NULL
"4",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01013090","  "," OTHER LIVE ASSES (NMB)","01","Live animals","0101","Live horses, asses, mules and hinnies.","010130"," - Asses","8","1","R","0",NULL,NULL,NULL
"5",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01019000","  "," LIVE MULES & HINNIES (NMB)","01","Live animals","0101","Live horses, asses, mules and hinnies.","010190"," - Other","8","1","R","0",NULL,NULL,NULL
"6",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01022100","  "," PURE BRED BREEDING CATTLE (NMB)","01","Live animals","0102","Live bovine animals.","010221"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"7",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01022911","  "," OTHER LIVE OXEN CATTLE (NMB)","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"8",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01022919","  "," OTHER LIVE MALE CATTLE (NMB)","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"9",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01022990","  "," OTHER LIVE CATTLE (NMB)","01","Live animals","0102","Live bovine animals.","010229"," - - Other","8","1","R","0",NULL,NULL,NULL
"10",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01023100","  "," PURE BRED BREEDING BUFFALO (NMB)","01","Live animals","0102","Live bovine animals.","010231"," - - Pure-bred breeding animals","8","1","R","0",NULL,NULL,NULL
"11",NULL,"HS 2017","Harmonized System 2017","Singapore","702","2021","1","01023900","  "," OTHER LIVE BUFFALO (NMB)","01","Live animals","0102","Live bovine animals.","010239"," - - Other","8","1","R","0",NULL,NULL,NULL
